1752	2363	1074	1
1800	2449	816	1
1802	2260	699	1
1588	2488	662	1
1603	2335	663	1
1682	2435	625	1
1697	1897	739	1
1708	1960	773	1
1695	2047	708	1
1606	2472	620	1
1576	2464	561	1
1615	2475	574	1
1863	1515	1048	1
1921	1457	1258	1
1934	1455	1293	1
1811	2311	1200	1
1892	1577	1055	1
1881	1553	1109	1
1761	2478	816	1
1805	1831	2526	1
1831	1962	2563	1
1800	2144	2475	1
1977	1198	2563	1
1813	1526	2491	1
2023	1541	2555	1
1972	1467	2413	1
2129	636	2432	1
2104	651	2546	1
1701	1232	2612	1
2165	679	2483	1
1774	1482	2413	1
2016	1053	2022	1
2255	1231	2019	1
2224	1158	1965	1
2232	1156	1945	1
2036	1089	2005	1
1830	1843	2566	1
1959	2403	2544	1
1829	2631	2480	1
2061	2501	2554	1
2012	2292	2611	1
2071	2376	2462	1
1922	2429	2535	1
1525	1983	2002	1
1791	2498	2153	1
1762	2394	2401	1
1995	2186	2338	1
2038	2435	2548	1
1984	1647	2509	1
2081	2083	2383	1
2241	2153	2341	1
2117	1686	2566	1
1819	2272	2476	1
2110	1527	2571	1
2227	2161	2356	1
1888	2518	2462	1
1407	871	2022	1
1344	1772	1063	1
1300	545	2031	1
1303	533	2085	1
1313	535	2056	1
1297	508	2048	1
1298	476	2022	1
1308	474	2019	1
1355	499	2059	1
1309	465	2014	1
1231	447	1998	1
1401	859	2041	1
1179	405	1889	1
1386	832	2045	1
1385	1483	2099	1
1393	1514	2116	1
1381	1442	2104	1
1382	1408	2102	1
1239	558	2068	1
1328	1337	2165	1
1371	2048	987	1
1380	1455	1926	1
1254	2420	546	1
1332	1960	721	1
1366	1736	1027	1
1405	1705	954	1
1409	1715	998	1
1332	1673	1213	1
1304	1665	1286	1
1343	1564	1366	1
1416	1363	1355	1
1376	2083	908	1
1419	1242	1327	1
1346	2196	700	1
1311	2007	739	1
1272	1854	823	1
1312	1933	889	1
1306	1880	930	1
1323	1852	958	1
1329	1829	974	1
1499	1130	1872	1
1563	436	2503	1
1599	374	2421	1
1541	1121	1781	1
1532	1248	1832	1
1644	1451	1698	1
1622	1637	905	1
1739	2379	1814	1
1594	2428	1781	1
1532	2479	1189	1
1644	2470	1471	1
1916	443	2371	1
1498	2350	1614	1
1529	1299	1818	1
1636	539	2253	1
1479	1100	1905	1
1889	368	2380	1
1646	398	2413	1
1889	501	2396	1
1589	378	2445	1
1359	1922	1384	1
1388	2082	1523	1
1394	2085	1507	1
1374	2068	1444	1
1375	2092	1372	1
1385	2110	1331	1
1401	2062	1330	1
1395	2177	1288	1
1372	2097	1306	1
1373	2094	1377	1
1388	2094	1439	1
1367	1878	1364	1
1386	2076	1520	1
1434	2299	964	1
1362	1872	1350	1
1415	2311	1011	1
1408	2333	964	1
1379	1938	1296	1
1385	1966	1250	1
1365	2010	1416	1
1546	1170	2207	1
1373	1320	1810	1
1423	1332	1895	1
1415	1355	1860	1
1415	1329	1842	1
1377	1305	1857	1
1372	1264	1847	1
1375	1305	1859	1
1367	1300	1846	1
1368	1324	1825	1
1374	1320	1844	1
1387	1687	1445	1
1370	1336	1829	1
1548	1211	2233	1
1413	1657	1606	1
1592	1061	2227	1
1601	933	2214	1
1613	999	2179	1
1986	981	2169	1
1621	863	2185	1
1763	1172	2045	1
2237	1090	1975	1
1537	837	1888	1
2149	692	2043	1
1673	1566	1899	1
1692	1622	1806	1
1878	983	2012	1
1872	1008	2000	1
1567	1271	2012	1
1373	1301	1836	1
1515	1342	1916	1
1956	1159	2035	1
1367	1253	1826	1
1998	1086	2007	1
2012	1100	2021	1
2032	1030	1988	1
1891	966	2019	1
2066	1008	1955	1
1850	1047	1942	1
2258	930	1915	1
1203	580	1575	1
1006	526	1567	1
1083	327	1339	1
1122	277	1162	1
1613	1588	348	1
1496	691	1208	1
731	1445	1008	1
1157	349	1751	1
1698	941	923	1
1400	884	1779	1
1662	1473	530	1
1232	413	1226	1
1574	764	847	1
1222	456	1263	1
1368	559	1373	1
1222	517	1260	1
1217	513	1178	1
1222	483	1094	1
1203	647	1391	1
1144	395	1318	1
1679	1126	2683	1
1665	1033	2723	1
1714	548	2328	1
1691	849	2489	1
1607	1122	2683	1
1607	1166	2719	1
1616	1086	2678	1
1587	1573	2756	1
1583	1134	2684	1
1597	1002	2664	1
1575	955	2638	1
1711	1053	2671	1
1570	1050	2665	1
1699	1045	2662	1
1709	1075	2679	1
1707	1047	2651	1
1749	583	2265	1
1769	625	2226	1
1731	848	2587	1
1761	744	2166	1
1472	1990	1186	1
1421	1928	1419	1
1387	2101	1305	1
1318	1763	1174	1
1362	2075	1188	1
1418	1178	1236	1
1105	665	1667	1
